b_anteriors;sitaucioVWAP;b_futures
1;1;1
2;1;2
3;1;3
4;1;4
5;1;5
6;1;6
7;1;7
8;1;8
9;1;9
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;1;16
17;1;17
13;1;18
18;1;19
18;1;20
19;1;21
20;1;22
21;1;23
22;1;24
23;1;25
24;1;26
25;1;27
26;1;28
19;1;29
27;1;30
28;1;31
29;1;32
30;1;33
31;1;34
32;1;35
33;1;36
34;1;37
35;1;38
36;1;39
37;1;40
27;1;41
34;2;42
38;2;11
39;1;43
40;1;44
15;2;37
41;2;38
36;2;45
37;2;44
42;2;46
34;2;47
36;2;48
37;2;49
43;2;50
44;2;51
45;2;52
46;2;53
47;2;54
48;2;55
49;2;56
50;2;57
51;2;58
52;2;59
53;2;60
54;2;61
55;2;62
56;2;63
57;2;35
58;2;64
41;2;65
35;2;66
36;2;67
59;2;68
60;2;69
61;2;70
62;2;71
63;2;72
64;2;73
65;2;74
66;2;75
67;3;76
68;1;27
69;1;28
70;3;77
71;2;78
28;3;79
72;3;80
73;2;81
45;1;82
74;3;83
75;3;84
76;2;85
77;2;86
78;2;87
79;2;88
80;3;89
81;3;90
82;1;91
83;1;92
84;1;93
85;3;94
86;2;95
87;2;96
88;2;97
89;2;98
90;2;99
91;2;100
92;2;101
93;3;102
94;1;103
95;1;104
96;1;105
97;3;106
98;3;107
99;2;108
100;2;109
101;3;110
12;1;111
102;1;112
103;1;113
104;2;114
105;2;115
106;2;116
107;2;117
108;2;118
109;2;119
110;2;120
111;2;100
112;2;121
113;2;122
114;2;123
95;2;33
115;2;34
116;1;63
117;2;63
34;2;124
35;2;13
35;2;125
35;2;126
107;2;49
118;2;127
119;2;128
45;2;129
120;2;130
121;2;131
122;2;132
104;2;133
123;2;14
124;2;25
125;2;134
17;2;135
26;2;136
19;2;137
126;2;138
127;2;139
56;2;140
128;2;141
129;2;142
130;2;143
131;2;144
132;2;145
133;2;146
134;2;11
94;2;43
